datetime,valore
2020-01-01,14.2
2020-01-02,13.7
2020-01-03,12.6
2020-01-04,13.3
2020-01-05,13.7
2020-01-06,14.3
2020-01-07,
2020-01-08,14.4
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,13.4
2020-01-13,13.7
2020-01-14,13.7
2020-01-15,13.8
2020-01-16,13.1
2020-01-17,12.6
2020-01-18,11.1
2020-01-19,11.6
2020-01-20,12.7
2020-01-21,12.7
2020-01-22,13.6
2020-01-23,13.4
2020-01-24,12.9
2020-01-25,12.8
2020-01-26,13.2
2020-01-27,11.98
2020-01-28,12.6
2020-01-29,13.0
2020-01-30,13.7
2020-01-31,14.7
2020-02-01,14.4
2020-02-02,15.0
2020-02-03,15.1
2020-02-04,13.8
2020-02-05,13.3
2020-02-06,13.7
2020-02-07,14.2
2020-02-08,12.7
2020-02-09,13.1
2020-02-10,12.6
2020-02-11,13.6
2020-02-12,12.7
2020-02-13,13.0
2020-02-14,13.4
2020-02-15,13.8
2020-02-16,14.2
2020-02-17,13.8
2020-02-18,13.8
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,15.7
2020-03-02,16.2
2020-03-03,14.4
2020-03-04,14.5
2020-03-05,15.0
2020-03-06,14.9
2020-03-07,15.1
2020-03-08,15.1
2020-03-09,15.9
2020-03-10,16.1
2020-03-11,16.4
2020-03-12,16.4
2020-03-13,16.1
2020-03-14,16.8
2020-03-15,17.3
2020-03-16,17.0
2020-03-17,17.3
2020-03-18,17.0
2020-03-19,17.5
2020-03-20,16.5
2020-03-21,16.4
2020-03-22,16.8
2020-03-23,16.8
2020-03-24,17.3
2020-03-25,17.7
2020-03-26,17.8
2020-03-27,17.6
2020-03-28,17.8
2020-03-29,17.9
2020-03-30,17.0
2020-03-31,17.4
2020-04-01,18.1
2020-04-02,18.3
2020-04-03,18.5
2020-04-04,18.7
2020-04-05,18.3
2020-04-06,18.4
2020-04-07,18.1
2020-04-08,18.4
2020-04-09,18.5
2020-04-10,19.0
2020-04-11,19.5
2020-04-12,20.0
2020-04-13,20.3
2020-04-14,20.2
2020-04-15,20.1
2020-04-16,20.1
2020-04-17,19.7
2020-04-18,20.1
2020-04-19,19.7
2020-04-20,20.1
2020-04-21,20.6
2020-04-22,20.2
2020-04-23,21.5
2020-04-24,21.9
2020-04-25,22.3
2020-04-26,22.5
2020-04-27,
2020-04-28,21.7
2020-04-29,21.4
2020-04-30,
2020-05-01,21.4
2020-05-02,
2020-05-03,
2020-05-04,22.6
2020-05-05,23.1
2020-05-06,22.8
2020-05-07,22.6
2020-05-08,21.7
2020-05-09,21.8
2020-05-10,22.4
2020-05-11,22.9
2020-05-12,23.1
2020-05-13,23.2
2020-05-14,23.6
2020-05-15,22.9
2020-05-16,22.3
2020-05-17,22.9
2020-05-18,22.8
2020-05-19,22.7
2020-05-20,22.4
2020-05-21,23.5
2020-05-22,23.8
2020-05-23,23.5
2020-05-24,22.5
2020-05-25,23.0
2020-05-26,23.5
2020-05-27,23.7
2020-05-28,23.3
2020-05-29,23.8
2020-05-30,22.3
2020-05-31,22.4
2020-06-01,23.1
2020-06-02,23.5
2020-06-03,23.9
2020-06-04,23.4
2020-06-05,23.5
2020-06-06,23.7
2020-06-07,24.1
2020-06-08,24.2
2020-06-09,23.9
2020-06-10,22.6
2020-06-11,22.3
2020-06-12,22.8
2020-06-13,23.2
2020-06-14,23.4
2020-06-15,23.2
2020-06-16,22.7
2020-06-17,22.6
2020-06-18,23.1
2020-06-19,23.1
2020-06-20,23.3
2020-06-21,22.9
2020-06-22,21.7
2020-06-23,22.2
2020-06-24,22.3
2020-06-25,22.6
2020-06-26,22.8
2020-06-27,23.3
2020-06-28,23.3
2020-06-29,22.2
2020-06-30,21.9
2020-07-01,21.8
2020-07-02,22.1
2020-07-03,22.3
2020-07-04,22.3
2020-07-05,22.8
2020-07-06,22.5
2020-07-07,22.3
2020-07-08,21.1
2020-07-09,21.4
2020-07-10,21.3
2020-07-11,21.6
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,21.1
2020-07-19,21.6
2020-07-20,21.9
2020-07-21,
2020-07-22,21.2
2020-07-23,21.6
2020-07-24,21.8
2020-07-25,21.7
2020-07-26,21.3
2020-07-27,21.4
2020-07-28,21.5
2020-07-29,19.6
2020-07-30,19.5
2020-07-31,18.8
2020-08-01,18.6
2020-08-02,18.5
2020-08-03,18.3
2020-08-04,17.7
2020-08-05,18.8
2020-08-06,18.5
2020-08-07,19.4
2020-08-08,18.6
2020-08-09,18.6
2020-08-10,18.8
2020-08-11,18.1
2020-08-12,18.8
2020-08-13,18.5
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,18.8
2020-08-25,16.8
2020-08-26,15.03
2020-08-27,15.1
2020-08-28,15.5
2020-08-29,16.1
2020-08-30,16.9
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,17.4
2020-09-11,17.2
2020-09-12,17.0
2020-09-13,17.3
2020-09-14,17.6
2020-09-15,17.2
2020-09-16,17.3
2020-09-17,17.0
2020-09-18,17.1
2020-09-19,15.3
2020-09-20,15.3
2020-09-21,15.1
2020-09-22,15.1
2020-09-23,16.5
2020-09-24,15.2
2020-09-25,14.9
2020-09-26,16.2
2020-09-27,16.2
2020-09-28,16.0
2020-09-29,15.6
2020-09-30,16.2
2020-10-01,12.8
2020-10-02,11.4
2020-10-03,12.4
2020-10-04,12.1
2020-10-05,12.9
2020-10-06,12.6
2020-10-07,13.9
2020-10-08,14.3
2020-10-09,13.5
2020-10-10,13.5
2020-10-11,14.8
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,14.4
2020-11-22,14.3
2020-11-23,13.1
2020-11-24,13.3
2020-11-25,14.1
2020-11-26,13.5
2020-11-27,13.4
2020-11-28,13.1
2020-11-29,12.8
2020-11-30,12.5
2020-12-01,12.5
2020-12-02,11.0
2020-12-03,9.6
2020-12-04,10.5
2020-12-05,11.4
2020-12-06,11.6
2020-12-07,9.9
